City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bluff,-46.6,168.3333,50.81,59,10,13.2,NZ,1670296509
1,aktash,50.3,87.7333,-11.09,87,9,4.05,RU,1670296510
2,mar del plata,-38.0023,-57.5575,69.82,73,0,10.36,AR,1670296511
3,muli,2.9167,73.5667,80.51,75,99,8.25,MV,1670296512
4,rawson,-43.3002,-65.1023,71.17,35,20,18.63,AR,1670296513
5,constantine,36.365,6.6147,47.61,71,0,2.3,DZ,1670296515
6,ponta do sol,32.6667,-17.1,66.7,72,100,4.05,PT,1670296516
7,marzuq,14.4,46.4667,56.55,65,28,3.96,YE,1670296517
8,sao felix do xingu,-6.6447,-51.995,70.59,99,100,0.96,BR,1670296518
9,bredasdorp,-34.5322,20.0403,55.15,77,95,3.13,ZA,1670296518
10,hobart,-42.8794,147.3294,63.05,55,75,18.41,AU,1670296246
11,lebu,-37.6167,-73.65,57.25,90,8,2.86,CL,1670296281
12,villa elisa,-25.3667,-57.6167,81.99,69,0,4.61,PY,1670296523
13,bathsheba,13.2167,-59.5167,73.06,95,20,4.61,BB,1670296525
14,trelew,-43.249,-65.3051,73.6,27,7,24.43,AR,1670296525
15,mataura,-46.1927,168.8643,50.49,37,16,6.15,NZ,1670296258
16,port lincoln,-34.7333,135.8667,66.04,58,96,9.53,AU,1670296528
17,port elizabeth,-33.918,25.5701,60.31,90,100,3.0,ZA,1670296471
18,khatanga,71.9667,102.5,-11.2,88,100,11.83,RU,1670296531
19,shahreza,32.0339,51.8794,35.01,76,51,2.46,IR,1670296531
20,palencia,42.4167,-4.5,44.92,98,100,1.77,ES,1670296532
21,isangel,-19.55,169.2667,84.22,71,84,5.77,VU,1670296533
22,naro moru,-0.1676,37.0213,50.97,92,100,1.88,KE,1670296536
23,kununurra,-15.7667,128.7333,98.58,47,21,5.75,AU,1670296536
24,cape town,-33.9258,18.4232,66.38,72,25,5.01,ZA,1670296248
